name,email,focus
Quest Staffing Solutions,,General staffing incl. contact centre and admin (SA)
Kelly (SA),,Office support / admin / customer service temp and perm
Network Recruitment,,Finance/admin and support roles
CallForce,,BPO / contact centre outsourcing and staffing (SA)
Sigma Connected,,BPO contact centre employer (Pretoria / Cape Town)
CCI Global,,BPO contact centre employer (Cape Town / Durban)
iSON Xperiences,,BPO contact centre employer (SA)
Teleperformance South Africa,,BPO contact centre employer
Merchants (a Dimension Data business),,BPO contact centre employer (SA)
WNS South Africa,,BPO / customer experience employer
Capita South Africa,,BPO customer management employer
iContact BPO,,Contact centre outsourcing (Durban / SA)
